RCP,city,year,value
45,Barcelona,2082,23.7902545928955
45,Barcelona,2083,24.1614818572998
45,Barcelona,2084,24.4063568115234
45,Barcelona,2085,24.3524723052979
45,Budapest,1986,3.6646146774292
45,Budapest,1987,3.78641104698181
45,Budapest,1988,4.03211688995361
45,Budapest,1989,3.91693735122681
45,Budapest,1990,3.98500657081604
45,Budapest,1991,4.31295490264893
45,Budapest,1992,4.54637289047241
45,Budapest,1993,4.68144702911377
45,Budapest,1994,4.69583177566528
45,Budapest,1995,4.70937919616699
45,Budapest,1996,4.83213949203491
45,Budapest,1997,5.09845018386841
45,Budapest,1998,5.29463863372803
45,Budapest,1999,5.388671875
45,Budapest,2000,5.48655891418457
45,Budapest,2001,5.65251541137695
45,Budapest,2002,5.93413209915161
45,Budapest,2003,6.00768709182739
45,Budapest,2004,6.15002202987671
45,Budapest,2005,6.42774295806885
45,Budapest,2006,6.50274276733398
45,Budapest,2007,6.38559484481812
45,Budapest,2008,6.4725284576416
45,Budapest,2009,6.57485294342041
45,Budapest,2010,6.67849540710449
45,Budapest,2011,7.01601219177246
45,Budapest,2012,7.25451755523682
45,Budapest,2013,7.65443277359009
45,Budapest,2014,7.83925342559814
45,Budapest,2015,8.19961547851562
45,Budapest,2016,8.3642110824585
45,Budapest,2017,8.53657531738281
45,Budapest,2018,8.15986061096191
45,Budapest,2019,8.42263126373291
45,Budapest,2020,8.5442419052124
45,Budapest,2021,8.20708084106445
45,Budapest,2022,8.38480186462402
45,Budapest,2023,8.43752288818359
45,Budapest,2024,8.68817329406738
45,Budapest,2025,9.11830234527588
45,Budapest,2026,9.19562721252441
45,Budapest,2027,9.51913928985596
45,Budapest,2028,9.66022300720215
45,Budapest,2029,9.81443119049072
45,Budapest,2030,9.8832950592041
45,Budapest,2031,10.0641355514526
45,Budapest,2032,10.2186145782471
45,Budapest,2033,10.7708539962769
45,Budapest,2034,11.0617685317993
45,Budapest,2035,11.1556749343872
45,Budapest,2036,11.7341480255127
45,Budapest,2037,12.1810026168823
45,Budapest,2038,12.5385417938232
45,Budapest,2039,12.8531532287598
45,Budapest,2040,13.191743850708
45,Budapest,2041,13.5238008499146
45,Budapest,2042,13.958890914917
45,Budapest,2043,13.8613004684448
45,Budapest,2044,14.0153408050537
45,Budapest,2045,14.3706817626953
45,Budapest,2046,14.8562545776367
45,Budapest,2047,15.1097288131714
45,Budapest,2048,15.6690664291382
45,Budapest,2049,16.1339740753174
45,Budapest,2050,16.4484424591064
45,Budapest,2051,16.9163017272949
45,Budapest,2052,17.2022285461426
45,Budapest,2053,17.7754039764404
45,Budapest,2054,17.9798412322998
45,Budapest,2055,17.7779560089111
45,Budapest,2056,17.9700202941895
45,Budapest,2057,17.7561187744141
45,Budapest,2058,17.8585433959961
45,Budapest,2059,17.8534126281738
45,Budapest,2060,18.3754787445068
45,Budapest,2061,18.3499984741211
45,Budapest,2062,18.3626689910889
45,Budapest,2063,18.2353858947754
45,Budapest,2064,18.0809059143066
45,Budapest,2065,18.4211101531982
45,Budapest,2066,18.5629043579102
45,Budapest,2067,18.9715747833252
45,Budapest,2068,18.6680183410645
45,Budapest,2069,18.8148555755615
45,Budapest,2070,19.1104183197021
45,Budapest,2071,18.6877861022949
45,Budapest,2072,18.9351921081543
